Вес утром,Вес вечером,Средний вес за день,Дата,Калории приема пищи,Белки приема пищи,Жиры приема пищи,Углеводы приема пищи,Цель по калориям,Цель по белкам,Цель по жирам,Цель по углеводам,Описание
61,58,59.5,2025-09-24,0,0,0,0,2600,120,75,335,
63,58,60.5,2025-09-25,1386.6000000000001,104.60000000000001,61.00000000000001,97.39999999999999,2900,120,80,420,
63,58,60.5,2025-09-26,3510,203.40000000000003,112.9,612.1,2600,120,75,335,
